,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Tempature,Wind Speed
0,Kaitangata,NZ,-46.28,169.85,09/10/20,94,62,48.99,1.99
1,‘Āhuimanu,US,21.44,-157.84,09/10/20,40,65,87.8,13.87
2,Katsuura,JP,35.13,140.3,09/10/20,20,83,82.4,9.17
3,Punta Arenas,CL,-53.15,-70.92,09/10/20,75,75,44.6,4.7
4,Yellowknife,CA,62.46,-114.35,09/10/20,75,62,55.0,13.87
5,Lorengau,PG,-2.02,147.27,09/10/20,62,78,83.32,7.47
6,Marsh Harbour,BS,26.54,-77.06,09/10/20,88,69,85.23,10.78
7,Marawi,PH,8.0,124.29,09/10/20,56,91,73.0,5.99
8,Rikitea,PF,-23.12,-134.97,09/10/20,100,83,73.58,18.03
9,Butaritari,KI,3.07,172.79,09/10/20,81,80,82.26,18.54
10,Santoña,ES,43.44,-3.46,09/10/20,0,93,69.01,1.88
11,Nikolskoye,RU,59.7,30.79,09/10/20,75,71,54.0,24.61
12,New Norfolk,AU,-42.78,147.06,09/10/20,91,71,51.01,4.07
13,Albany,US,42.6,-73.97,09/10/20,59,89,77.0,4.03
14,Staritsa,RU,56.51,34.94,09/10/20,32,82,48.33,12.17
15,Faanui,PF,-16.48,-151.75,09/10/20,11,74,78.26,11.86
16,Jamestown,US,42.1,-79.24,09/10/20,90,93,66.2,9.17
17,Torbay,CA,47.67,-52.73,09/10/20,75,63,61.0,8.05
18,Luleå,SE,65.58,22.15,09/10/20,0,70,48.2,10.29
19,Mataura,NZ,-46.19,168.86,09/10/20,99,77,48.99,1.01
20,Gushikawa,JP,26.35,127.87,09/10/20,1,94,80.6,7.02
21,Sitka,US,57.05,-135.33,09/10/20,75,77,59.0,17.22
22,Narsaq,GL,60.92,-46.05,09/10/20,1,27,41.0,8.05
23,Chapais,CA,49.78,-74.85,09/10/20,40,71,51.8,5.82
24,Cabo San Lucas,MX,22.89,-109.91,09/10/20,5,74,87.8,12.75
25,Luga,RU,58.74,29.85,09/10/20,29,72,50.32,12.93
26,Ushuaia,AR,-54.8,-68.3,09/10/20,40,57,48.2,11.41
27,Severo-Kuril'sk,RU,50.68,156.12,09/10/20,100,78,51.1,3.56
28,Poso,ID,-1.4,120.75,09/10/20,100,79,77.2,6.91
29,Qaanaaq,GL,77.48,-69.36,09/10/20,100,85,26.62,10.07
30,São Filipe,CV,14.9,-24.5,09/10/20,100,83,80.19,13.31
31,Atuona,PF,-9.8,-139.03,09/10/20,0,72,78.98,15.41
32,Kruisfontein,ZA,-34.0,24.73,09/10/20,100,93,60.01,3.0
33,Verkhoyansk,RU,67.54,133.38,09/10/20,68,62,46.02,1.45
34,Iqaluit,CA,63.75,-68.51,09/10/20,75,69,39.2,11.41
35,Tasiilaq,GL,65.61,-37.64,09/10/20,100,95,33.8,3.44
36,Bay Roberts,CA,47.6,-53.26,09/10/20,93,52,62.01,4.63
37,Cape Town,ZA,-33.93,18.42,09/10/20,100,82,61.0,8.05
38,Ribeira Grande,PT,38.52,-28.7,09/10/20,4,83,71.87,3.2
39,Qandala,SO,11.47,49.87,09/10/20,7,55,89.11,2.89
40,Puerto Ayora,EC,-0.74,-90.35,09/10/20,20,57,75.2,18.34
41,Pangnirtung,CA,66.15,-65.71,09/10/20,75,69,39.2,14.99
42,Vaini,TO,-21.2,-175.2,09/10/20,75,83,75.2,12.75
43,Cockburn Town,TC,21.46,-71.14,09/10/20,40,78,82.4,11.41
44,Byron Bay,AU,-28.65,153.62,09/10/20,75,82,60.8,18.34
45,Nevesinje,BA,43.26,18.11,09/10/20,0,53,73.4,2.24
46,Tiksi,RU,71.69,128.87,09/10/20,99,69,44.26,6.89
47,Mehamn,NO,71.04,27.85,09/10/20,40,87,44.6,4.7
48,Saint Paul Harbor,US,57.79,-152.41,09/10/20,1,41,60.8,12.75
49,Barrow,US,71.29,-156.79,09/10/20,90,86,39.2,20.8
50,Skibbereen,IE,51.55,-9.27,09/10/20,75,93,51.8,6.93
51,Lavrentiya,RU,65.58,-171.0,09/10/20,98,72,46.87,6.58
52,Çermik,TR,38.14,39.45,09/10/20,0,37,68.0,3.36
53,Katobu,ID,-4.94,122.53,09/10/20,35,87,74.41,5.44
54,Sept-Îles,CA,50.2,-66.38,09/10/20,90,93,48.99,5.82
55,Kapuskasing,CA,49.42,-82.43,09/10/20,75,38,60.8,13.87
56,Borba,BR,-4.39,-59.59,09/10/20,87,83,77.63,3.49
57,Flores,GT,16.92,-89.9,09/10/20,79,63,89.71,1.32
58,Guastalla,IT,44.91,10.66,09/10/20,89,79,73.0,4.97
59,Cayenne,GF,4.93,-52.33,09/10/20,3,74,82.4,9.17
60,Prince Rupert,CA,54.32,-130.32,09/10/20,1,82,64.4,5.82
61,Hermanus,ZA,-34.42,19.23,09/10/20,100,91,57.99,5.99
62,Atar,MR,20.52,-13.05,09/10/20,69,20,98.19,4.5
63,Wajir,KE,1.75,40.06,09/10/20,45,71,75.52,15.68
64,Kuito,AO,-12.38,16.93,09/10/20,6,32,58.75,3.33
65,Carnarvon,AU,-24.87,113.63,09/10/20,0,77,62.6,12.75
66,Huarmey,PE,-10.07,-78.15,09/10/20,6,70,65.32,9.55
67,Virden,US,39.5,-89.77,09/10/20,99,83,73.0,4.0
68,Pelym,RU,61.01,62.0,09/10/20,2,97,47.75,5.91
69,Hofn,IS,64.25,-15.21,09/10/20,96,90,48.22,1.39
70,Taoudenni,ML,22.68,-3.98,09/10/20,26,15,102.22,4.25
71,Bambous Virieux,MU,-20.34,57.76,09/10/20,75,83,72.0,14.99
72,Nouadhibou,MR,20.93,-17.03,09/10/20,41,66,84.2,8.05
73,Olafsvik,IS,64.89,-23.71,09/10/20,100,84,48.31,17.52
74,Omboué,GA,-1.57,9.26,09/10/20,30,82,74.98,7.29
75,Bethel,US,41.37,-73.41,09/10/20,75,94,73.99,4.7
76,Antalaha,MG,-14.9,50.28,09/10/20,14,86,68.32,9.24
77,Alofi,NU,-19.06,-169.92,09/10/20,75,88,80.6,8.05
78,Santa Vitória do Palmar,BR,-33.52,-53.37,09/10/20,0,67,53.08,5.41
79,Hilo,US,19.73,-155.09,09/10/20,90,74,82.4,5.82
80,Kapaa,US,22.08,-159.32,09/10/20,20,62,86.0,11.41
81,Olinda,BR,-8.01,-34.86,09/10/20,75,78,78.8,14.99
82,Pekalongan,ID,-6.89,109.68,09/10/20,70,74,76.71,6.6
83,Bluff,NZ,-46.6,168.33,09/10/20,76,77,48.99,1.01
84,Bredasdorp,ZA,-34.53,20.04,09/10/20,100,87,59.0,12.75
85,Great Yarmouth,GB,52.61,1.73,09/10/20,48,93,55.0,4.99
86,Mahébourg,MU,-20.41,57.7,09/10/20,75,83,71.6,14.99
87,Harper,LR,4.38,-7.72,09/10/20,84,85,76.06,11.72
88,Lagoa,PT,39.05,-27.98,09/10/20,0,84,72.1,6.71
89,Tuktoyaktuk,CA,69.45,-133.04,09/10/20,75,86,37.4,14.99
90,Nossa Senhora das Dores,BR,-10.49,-37.19,09/10/20,75,78,75.2,12.75
91,Maués,BR,-3.38,-57.72,09/10/20,72,57,84.45,2.8
92,Airai,TL,-8.93,125.41,09/10/20,60,76,55.35,3.78
93,Yulara,AU,-25.24,130.99,09/10/20,0,31,60.8,3.36
94,Srednekolymsk,RU,67.45,153.68,09/10/20,11,64,49.89,3.71
95,Ca Mau,VN,9.18,105.15,09/10/20,100,88,77.72,2.44
96,Avarua,CK,-21.21,-159.78,09/10/20,100,83,77.0,16.11
97,Colares,PT,38.8,-9.45,09/10/20,47,28,73.99,11.41
98,Castro,BR,-24.79,-50.01,09/10/20,53,58,69.66,3.09
99,Ust-Nera,RU,64.57,143.2,09/10/20,3,48,49.44,1.92
100,Hong Kong,HK,22.29,114.16,09/10/20,99,79,84.0,6.35
101,Talara,PE,-4.58,-81.27,09/10/20,23,82,64.8,17.0
102,Shingū,JP,33.73,135.98,09/10/20,25,85,75.13,4.36
103,Rocha,UY,-34.48,-54.33,09/10/20,0,64,50.05,4.09
104,Muros,ES,42.78,-9.06,09/10/20,29,82,68.0,1.99
105,Puro,PH,12.48,123.38,09/10/20,86,79,80.69,1.41
106,Hobart,AU,-42.88,147.33,09/10/20,75,66,51.01,8.05
107,Saldanha,ZA,-33.01,17.94,09/10/20,82,76,57.2,4.7
108,Ugoofaaru,MV,5.67,73.0,09/10/20,22,79,81.23,15.77
109,Kutum,SD,14.2,24.67,09/10/20,100,61,76.23,6.76
110,Nabire,ID,-3.37,135.48,09/10/20,42,88,76.55,4.07
111,George Town,MY,5.41,100.34,09/10/20,40,94,77.0,5.44
112,Lere,NG,10.39,8.57,09/10/20,93,91,69.33,1.32
113,Vostok,RU,46.49,135.88,09/10/20,100,99,50.81,3.13
114,Longyearbyen,SJ,78.22,15.64,09/10/20,75,75,44.6,17.22
115,Arrondissement de Millau,FR,44.08,2.92,09/10/20,73,56,69.01,2.24
116,Bilma,NE,18.69,12.92,09/10/20,1,11,94.96,10.33
117,Leningradskiy,RU,69.38,178.42,09/10/20,100,81,43.92,2.48
118,Hithadhoo,MV,-0.6,73.08,09/10/20,94,78,81.64,13.2
119,Japura,ID,-0.32,102.35,09/10/20,99,88,73.87,1.54
120,Arraial do Cabo,BR,-22.97,-42.03,09/10/20,15,65,77.0,18.34
121,Guerrero Negro,MX,27.98,-114.06,09/10/20,0,40,88.02,13.33
122,San Jerónimo,PE,-11.95,-75.28,09/10/20,61,46,57.81,8.88
123,Port Alfred,ZA,-33.59,26.89,09/10/20,93,85,63.32,18.34
124,Synya,RU,65.37,58.04,09/10/20,17,93,46.89,9.17
125,Kavaratti,IN,10.57,72.64,09/10/20,100,81,81.43,19.86
126,Porto-Novo,BJ,6.5,2.6,09/10/20,40,83,78.8,11.41
127,Lompoc,US,34.64,-120.46,09/10/20,90,87,59.0,8.05
128,Bengkulu,ID,-3.8,102.27,09/10/20,100,87,74.48,3.29
129,Saint-Philippe,RE,-21.36,55.77,09/10/20,75,82,68.0,9.17
130,Vágur,FO,61.47,-6.81,09/10/20,80,90,51.53,17.34
131,Broome,US,42.25,-75.83,09/10/20,75,61,81.0,6.93
132,Busselton,AU,-33.65,115.33,09/10/20,92,83,45.0,4.63
133,Bukachacha,RU,52.98,116.92,09/10/20,24,86,50.63,2.42
134,Hövsan,AZ,40.37,50.09,09/10/20,0,77,66.2,4.7
135,Thompson,CA,55.74,-97.86,09/10/20,40,43,55.4,16.11
136,Mossamedes,AO,-15.2,12.15,09/10/20,92,84,68.81,2.8
137,Bonavista,CA,48.65,-53.11,09/10/20,100,79,55.99,9.06
138,Port Augusta,AU,-32.5,137.77,09/10/20,0,58,59.0,3.36
139,Zaria,NG,11.11,7.72,09/10/20,68,87,71.94,6.49
140,Aranos,,-24.13,19.12,09/10/20,0,27,64.15,8.28
141,Ixtapa,MX,20.7,-105.2,09/10/20,75,74,87.8,10.29
142,Gualaquiza,EC,-3.4,-78.55,09/10/20,72,47,77.61,3.15
143,Loandjili,CG,-4.76,11.86,09/10/20,75,78,77.0,4.7
144,Cidreira,BR,-30.18,-50.21,09/10/20,0,85,58.53,7.7
145,Anadyr,RU,64.75,177.48,09/10/20,75,87,50.0,11.18
146,Remontnoye,RU,46.56,43.65,09/10/20,0,38,60.8,11.18
147,Sterling,US,39.01,-77.43,09/10/20,75,78,82.4,8.05
148,Nuuk,GL,64.18,-51.72,09/10/20,75,74,39.2,11.41
149,Yangi Marg`ilon,UZ,40.43,71.72,09/10/20,0,48,66.2,6.93
150,Vladičin Han,RS,42.71,22.06,09/10/20,0,74,62.01,2.06
151,Labuhan,ID,-6.88,112.21,09/10/20,58,81,75.79,9.04
152,Ostrovnoy,RU,68.05,39.51,09/10/20,20,88,42.82,3.78
153,Upernavik,GL,72.79,-56.15,09/10/20,100,93,35.06,10.85
154,Norman Wells,CA,65.28,-126.83,09/10/20,90,93,46.4,9.17
155,Polovinnoye,RU,54.79,65.99,09/10/20,99,53,49.24,8.46
156,Saldaña,CO,3.93,-75.02,09/10/20,20,51,84.2,9.17
157,Neiafu,TO,-18.65,-173.98,09/10/20,75,94,78.8,5.82
158,Shetpe,KZ,44.17,52.12,09/10/20,0,53,60.26,4.63
159,Dingcheng,CN,32.13,115.04,09/10/20,21,97,65.75,4.94
160,Saskylakh,RU,71.92,114.08,09/10/20,96,83,45.79,3.89
161,Isangel,VU,-19.55,169.27,09/10/20,40,83,71.6,5.82
162,Mayumba,GA,-3.43,10.66,09/10/20,96,83,75.16,5.5
163,Provideniya,RU,64.38,-173.3,09/10/20,90,87,48.2,4.47
164,Grand Gaube,MU,-20.01,57.66,09/10/20,9,77,72.0,5.99
165,Hazorasp,UZ,41.32,61.07,09/10/20,0,72,59.0,2.24
166,Salinópolis,BR,-0.61,-47.36,09/10/20,0,80,80.31,15.23
167,Sakakah,SA,29.97,40.21,09/10/20,34,8,87.8,11.41
168,Sánchez,DO,19.23,-69.61,09/10/20,40,74,84.2,6.91
169,Mar del Plata,AR,-38.0,-57.56,09/10/20,24,66,55.99,12.75
170,East London,ZA,-33.02,27.91,09/10/20,100,78,64.78,12.75
171,Lebu,CL,-37.62,-73.65,09/10/20,30,73,50.77,13.0
172,Buala,SB,-8.14,159.59,09/10/20,63,74,81.9,4.16
173,Santa Maria,BR,-29.68,-53.81,09/10/20,0,60,73.4,5.82
174,Araouane,ML,18.9,-3.53,09/10/20,0,15,101.37,5.26
175,Hasaki,JP,35.73,140.83,09/10/20,20,94,78.8,5.82
176,Khatanga,RU,71.97,102.5,09/10/20,100,90,43.29,7.87
177,Berlevåg,NO,70.86,29.09,09/10/20,3,93,42.8,6.93
178,Bathsheba,BB,13.22,-59.52,09/10/20,20,74,82.4,4.7
179,Raudeberg,NO,61.99,5.14,09/10/20,100,88,48.0,23.29
180,Talnakh,RU,69.49,88.4,09/10/20,75,93,50.0,8.95
181,Cuiluan,CN,47.72,128.65,09/10/20,0,90,46.69,3.2
182,Departamento de Maldonado,UY,-34.67,-54.92,09/10/20,0,44,60.8,10.29
183,Rørvik,NO,64.86,11.24,09/10/20,100,74,50.47,20.45
184,Fort Nelson,CA,58.81,-122.7,09/10/20,90,93,55.4,2.46
185,Canindé de São Francisco,BR,-9.66,-37.79,09/10/20,24,72,73.62,10.76
186,Don Luan,VN,11.53,106.92,09/10/20,99,95,73.94,2.68
187,Portland,US,45.52,-122.68,09/10/20,90,29,80.6,8.05
188,Jermuk,AM,39.84,45.67,09/10/20,1,69,52.27,2.84
189,Ongandjera,,-17.88,15.07,09/10/20,0,24,66.38,7.49
190,Viedma,AR,-40.81,-63.0,09/10/20,75,33,68.0,7.0
191,Manaus,BR,-3.1,-60.02,09/10/20,75,74,82.4,4.7
192,Pasaje,EC,-3.33,-79.82,09/10/20,90,78,75.2,6.58
193,General Bravo,MX,25.8,-99.17,09/10/20,98,57,74.37,22.37
194,Chui,UY,-33.7,-53.46,09/10/20,0,66,52.21,5.03
195,Cootamundra,AU,-34.65,148.03,09/10/20,0,79,46.76,8.52
196,La Asuncion,VE,11.03,-63.86,09/10/20,49,50,95.0,16.11
197,Maamba,ZM,-17.37,27.15,09/10/20,0,34,62.94,2.68
198,Hualmay,PE,-11.1,-77.61,09/10/20,24,73,63.57,9.06
199,Port Elizabeth,ZA,-33.92,25.57,09/10/20,90,93,60.8,17.22
200,Khandyga,RU,62.67,135.6,09/10/20,0,69,47.1,1.72
201,Tura,IN,25.52,90.22,09/10/20,100,98,74.16,5.01
202,Santa Marta,CO,11.24,-74.2,09/10/20,99,67,89.01,10.02
203,Kuah,MY,6.33,99.84,09/10/20,40,94,77.0,8.05
204,Bagdarin,RU,54.43,113.6,09/10/20,100,91,48.36,0.94
205,Elizabeth City,US,36.29,-76.25,09/10/20,20,88,84.99,4.7
206,Fortuna,US,40.6,-124.16,09/10/20,1,77,64.4,6.93
207,Mwinilunga,ZM,-11.74,24.43,09/10/20,44,38,54.32,4.45
208,San Nicolas,PH,18.17,120.6,09/10/20,20,94,75.2,3.36
209,Salalah,OM,17.02,54.09,09/10/20,40,83,78.8,3.36
210,Umm Hājar,TD,13.3,19.7,09/10/20,100,73,76.1,21.92
211,Kieta,PG,-6.22,155.63,09/10/20,54,69,82.78,1.95
212,Chifeng,CN,42.27,118.96,09/10/20,100,91,56.48,15.7
213,Antsirabe,MG,-19.85,47.03,09/10/20,43,83,51.57,4.34
214,Mathathane,BW,-22.27,28.75,09/10/20,0,48,63.68,11.68
215,Shitanjing,CN,39.23,106.34,09/10/20,56,37,60.48,5.35
216,Cherskiy,RU,68.75,161.3,09/10/20,45,70,46.09,5.17
217,Eureka,US,40.8,-124.16,09/10/20,90,77,64.0,4.7
218,Vila Velha,BR,-20.33,-40.29,09/10/20,64,73,75.2,17.22
219,Nome,US,64.5,-165.41,09/10/20,90,81,48.99,16.11
220,Geraldton,AU,-28.77,114.6,09/10/20,2,93,44.6,4.7
221,Kozluk,TR,38.19,41.49,09/10/20,0,48,66.2,8.05
222,Tayshet,RU,55.93,98.0,09/10/20,100,95,45.5,9.24
223,Arman',RU,59.7,150.17,09/10/20,45,63,48.85,10.38
224,Dobryatino,RU,55.51,41.32,09/10/20,50,90,50.94,10.58
225,San Ignacio,BZ,17.16,-89.07,09/10/20,40,56,95.0,6.93
226,Suez,EG,29.97,32.53,09/10/20,0,79,78.28,9.04
227,Juba,SS,4.85,31.58,09/10/20,6,83,72.88,3.02
228,Beringovskiy,RU,63.05,179.32,09/10/20,100,93,48.4,17.54
229,Vestmannaeyjar,IS,63.44,-20.27,09/10/20,100,88,50.43,21.54
230,Praia da Vitória,PT,38.73,-27.07,09/10/20,20,88,73.0,2.91
231,San Patricio,MX,19.22,-104.7,09/10/20,40,75,89.6,9.17
232,Kiryat Gat,IL,31.61,34.76,09/10/20,0,80,82.0,3.11
233,San Quintín,MX,30.48,-115.95,09/10/20,0,37,82.22,11.12
234,Dayong,CN,25.02,118.29,09/10/20,20,94,80.6,2.24
235,Ulladulla,AU,-35.35,150.47,09/10/20,75,93,51.8,5.82
236,Surgut,RU,61.25,73.42,09/10/20,100,76,57.2,6.71
237,Aklavik,CA,68.22,-135.01,09/10/20,90,80,41.0,8.05
238,Pevek,RU,69.7,170.31,09/10/20,100,94,41.97,8.19
239,Bonthe,SL,7.53,-12.51,09/10/20,100,91,76.15,13.62
240,Pisco,PE,-13.7,-76.22,09/10/20,18,68,66.2,14.99
241,Bambanglipuro,ID,-7.95,110.28,09/10/20,64,85,75.18,5.5
242,Grindavik,IS,63.84,-22.43,09/10/20,75,93,48.2,9.17
243,Nioro,GM,13.35,-15.75,09/10/20,66,92,78.22,5.37
244,Rafaela,AR,-31.25,-61.49,09/10/20,0,40,73.0,4.0
245,San Cristobal,VE,7.77,-72.22,09/10/20,40,49,89.6,8.05
246,Kahului,US,20.89,-156.47,09/10/20,40,46,89.6,25.28
247,Handan,CN,36.6,114.47,09/10/20,0,76,63.25,5.39
248,Poum,NC,-20.23,164.02,09/10/20,0,71,71.04,9.13
249,Makakilo City,US,21.35,-158.09,09/10/20,1,48,87.8,11.41
250,Nanaimo,CA,49.17,-123.94,09/10/20,0,45,84.0,2.91
251,Puquio,PE,-14.7,-74.13,09/10/20,60,35,58.98,7.81
252,Mhlume,SZ,-26.03,31.85,09/10/20,31,77,64.4,2.24
253,Novi Grad,BA,45.05,16.38,09/10/20,99,76,61.56,0.56
254,Saint George,US,37.1,-113.58,09/10/20,1,15,78.8,4.7
255,Chino Valley,US,34.76,-112.45,09/10/20,1,17,77.0,4.7
256,San José de las Lajas,CU,22.96,-82.15,09/10/20,40,70,87.01,8.05
257,Belmonte,BR,-15.86,-38.88,09/10/20,0,69,73.4,9.17
258,Quatre Cocos,MU,-20.21,57.76,09/10/20,75,83,72.0,14.99
259,Wittingen,DE,52.73,10.74,09/10/20,75,93,51.8,1.12
260,Torres,BR,-29.34,-49.73,09/10/20,65,88,60.84,2.26
261,Dingle,PH,11.0,122.67,09/10/20,26,87,76.14,2.66
262,Alice Springs,AU,-23.7,133.88,09/10/20,0,38,59.0,4.7
263,Awjilah,LY,29.11,21.29,09/10/20,0,69,76.82,15.08
264,Beneditinos,BR,-5.45,-42.37,09/10/20,59,30,95.0,6.93
265,Maragogi,BR,-9.01,-35.22,09/10/20,0,83,74.07,11.72
